"BehaviorSpace results (NetLogo 6.2.2)"
"escenarios.nlogo"
"experiment_1"
"06/24/2022 17:21:39:166 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","pasosmax","angulomax","[step]","restoverde","restoalimento","tiempo"
"493","1","90","26","41","92","26"
"492","1","90","28","28","71","28"
"494","1","90","34","38","86","34"
"495","1","90","26","39","79","26"
"496","1","90","28","47","111","28"
"497","1","90","28","42","75","28"
"498","1","90","30","36","92","30"
"500","1","90","26","36","105","26"
"501","1","90","30","46","111","30"
"502","1","90","28","42","113","28"
"499","1","90","28","40","81","28"
"503","1","90","32","53","134","32"
"504","1","90","30","42","110","30"
"505","1","90","28","40","96","28"
"506","1","90","28","31","69","28"
"507","1","90","28","32","88","28"
"509","1","90","32","35","92","32"
"508","1","90","30","41","99","30"
"510","1","90","28","38","107","28"
"512","1","90","34","52","133","34"
"511","1","90","32","41","101","32"
"513","1","90","26","43","104","26"
"514","1","90","30","32","67","30"
"515","1","90","30","39","89","30"
"516","1","90","28","34","60","28"
"517","1","90","28","39","115","28"
"518","1","90","28","41","121","28"
"519","1","90","30","49","127","30"
"520","1","90","26","35","86","26"
"521","1","90","30","38","101","30"
"522","1","90","32","37","96","32"
"524","1","90","28","35","98","28"
"523","1","90","28","44","115","28"
"525","1","90","36","43","92","36"
"527","1","90","26","45","131","26"
"528","1","90","28","39","119","28"
"529","1","90","26","48","141","26"
"526","1","90","30","34","78","30"
"531","1","90","28","49","96","28"
"530","1","90","34","34","89","34"
"532","1","90","28","42","118","28"
"533","1","90","30","42","105","30"
"534","1","90","28","53","149","28"
"535","1","90","28","39","98","28"
"536","1","90","26","36","90","26"
"537","1","90","32","48","114","32"
"538","1","90","32","44","114","32"
"539","1","90","28","38","123","28"
"540","1","90","30","42","92","30"
"541","1","90","26","39","92","26"
"542","1","90","34","38","114","34"
"543","1","90","32","36","89","32"
"544","1","90","36","40","110","36"
"546","1","90","30","43","118","30"
"545","1","90","28","43","104","28"
"547","1","90","34","49","115","34"
"548","1","90","28","35","84","28"
"550","1","90","26","27","71","26"
"551","1","90","30","39","113","30"
"549","1","90","34","46","115","34"
"552","1","90","34","41","99","34"
"553","1","90","30","45","132","30"
"554","1","90","30","49","116","30"
"555","1","90","28","39","92","28"
"557","1","90","26","41","113","26"
"556","1","90","32","42","97","32"
"558","1","90","28","35","77","28"
"559","1","90","30","37","79","30"
"560","1","90","26","45","105","26"
"561","1","90","28","39","113","28"
"562","1","90","28","49","134","28"
"564","1","90","26","34","98","26"
"563","1","90","32","34","85","32"
"566","1","90","30","34","99","30"
"565","1","90","28","42","99","28"
"567","1","90","32","33","82","32"
"568","1","90","28","41","121","28"
"569","1","90","26","29","79","26"
"571","1","90","30","35","82","30"
"573","1","90","28","51","141","28"
"572","1","90","30","38","100","30"
"574","1","90","30","43","123","30"
"570","1","90","30","37","102","30"
"575","1","90","26","51","126","26"
"576","1","90","30","26","61","30"
"577","1","90","30","43","112","30"
"578","1","90","26","53","127","26"
"579","1","90","28","37","100","28"
"581","1","90","28","38","95","28"
"580","1","90","36","49","137","36"
"582","1","90","28","40","92","28"
"583","1","90","32","32","92","32"
"584","1","90","30","39","85","30"
"585","1","90","26","31","69","26"
"586","1","90","26","35","92","26"
"587","1","90","32","38","102","32"
"588","1","90","26","41","106","26"
"589","1","90","32","31","60","32"
"590","1","90","26","39","101","26"
"591","1","90","28","48","122","28"
"593","1","90","28","41","99","28"
"592","1","90","26","35","95","26"
"594","1","90","30","44","120","30"
"595","1","90","36","33","82","36"
"596","1","90","30","42","109","30"
"597","1","90","28","40","109","28"
"598","1","90","30","41","98","30"
"599","1","90","36","50","128","36"
"601","1","90","28","34","68","28"
"600","1","90","30","39","88","30"
"602","1","90","30","54","112","30"
"603","1","90","32","52","137","32"
"604","1","90","28","26","65","28"
"606","1","90","28","39","93","28"
"605","1","90","34","43","111","34"
"609","1","90","30","39","86","30"
"607","1","90","30","58","168","30"
"608","1","90","30","45","106","30"
"610","1","90","26","38","99","26"
"611","1","90","36","36","98","36"
"612","1","90","32","32","71","32"
"614","1","90","28","36","93","28"
"613","1","90","28","34","73","28"
"615","1","90","34","42","109","34"
"616","1","90","30","32","103","30"
"618","1","90","24","43","108","24"
"617","1","90","42","36","97","42"
"619","1","90","32","45","119","32"
"620","1","90","28","45","131","28"
"622","1","90","26","43","103","26"
"621","1","90","26","36","87","26"
"623","1","90","38","27","60","38"
"624","1","90","30","39","88","30"
"625","1","90","28","32","68","28"
"626","1","90","32","42","106","32"
